11	65	58
2	41	72
31	58	38
94	100	72
18	73	12
32	22	27
30	24	53
42	63	91
73	92	59
51	43	99
74	46	1
4	23	76
84	94	34
52	45	5
79	77	1
63	68	88
23	32	26
48	25	22
10	58	98
42	59	3
44	54	71
98	20	71
5	87	93
50	35	44
31	90	49
62	14	63
54	82	37
97	12	80
100	47	42
4	31	97
87	30	18
71	28	98
61	79	70
7	72	57
69	84	89
81	58	9
92	65	19
11	21	58
79	72	51
40	88	68
46	14	46
70	81	67
60	67	62
85	91	35
45	30	18
41	40	29
73	98	22
44	29	80
36	80	73
43	99	55
20	3	76
81	30	23
11	44	13
16	69	93
87	79	62
92	84	39
53	91	67
61	59	30
18	4	31
17	55	71
65	24	11
58	29	25
66	76	86
23	65	14
46	46	23
60	21	96
77	32	42
15	45	62
79	37	59
2	85	61
70	30	60
20	49	76
95	86	61
84	63	89
53	56	9
29	54	70
5	87	86
27	74	85
57	24	27
62	43	23
11	4	7
20	85	12
95	17	68
80	71	6
42	34	47
79	24	54
3	54	56
88	92	54
38	66	27
55	25	40
85	89	41
88	18	71
78	66	55
77	7	49
91	90	64
42	17	27
22	22	58
48	38	67
42	47	94
27	30	44
38	85	26
16	53	75
30	65	78
68	12	100
63	93	25
60	6	12
77	30	63
45	24	28
82	81	12
63	16	82
26	82	33
17	95	92
97	42	61
92	42	71
8	32	58
78	80	4
52	65	72
66	10	82
34	42	1
9	84	29
35	20	4
29	89	77
15	88	27
56	37	10
16	89	37
6	86	2
98	19	80
51	30	30
51	36	40
71	30	27
74	64	40
26	27	65
73	86	49
38	37	18
77	29	80
86	35	85
22	100	21
49	22	72
98	60	63
89	40	80
87	38	45
12	70	53
85	92	11
50	25	96
79	85	45
24	51	3
47	29	70
21	10	1
32	67	54
51	78	8
46	82	83
7	39	7
50	82	15
16	75	76
12	58	81
23	66	31
11	36	95
69	48	35
69	44	89
78	9	80
22	77	53
54	46	26
60	94	62
35	85	25
79	82	77
76	29	99
21	64	71
22	31	65
74	11	11
92	53	43
94	15	6
18	94	57
33	52	22
51	10	25
76	42	5
89	21	65
19	15	92
24	39	20
98	78	17
95	73	74
43	86	65
24	28	66
11	60	71
55	20	50
22	64	87
27	32	20
15	53	79
71	44	53
72	84	6
6	12	1
82	15	5
86	93	67
85	74	70
92	2	93
65	85	57
55	58	47
17	95	93
20	39	85
16	83	46
70	4	36
96	24	53
29	37	99
50	22	61
14	24	45
76	83	85
49	11	81
13	6	33
21	63	51
81	58	47
94	54	46
4	16	16
54	35	31
56	16	43
23	47	62
37	85	86
38	21	17
49	35	31
48	29	5
87	8	29
39	46	47
68	2	13
24	72	72
43	72	96
54	40	82
22	92	95
59	26	85
55	80	68
30	19	16
7	100	89
40	18	12
88	36	42
74	94	3
68	89	66
33	71	51
88	57	62
77	46	82
68	79	5
12	9	5
48	22	85
14	11	64
10	13	88
35	79	12
72	15	99
99	27	28
96	48	80
39	51	29
32	24	100
20	13	5
39	35	17
65	8	53
48	2	10
77	5	36
32	98	72
83	83	96
86	13	33
16	51	2
7	91	97
54	1	36
62	79	71
61	36	40
13	35	74
94	44	20
35	89	38
30	64	82
86	75	31
61	3	14
63	70	53
25	49	29
27	47	19
44	89	88
71	65	66
37	68	37
66	23	65
55	85	24
44	95	56
9	8	72
60	75	14
83	1	99
42	100	85
58	19	78
63	13	38
96	42	18
42	48	47
47	97	29
54	84	38
19	61	62
66	88	39
9	97	26
82	90	40
29	33	82
69	29	49
71	13	9
18	80	26
96	70	29
62	46	7
42	49	65
99	21	81
27	78	19
57	93	97
86	19	33
14	2	13
72	61	91
31	73	57
80	42	47
37	28	36
71	2	8
15	35	5
17	94	61
32	19	57
47	43	4
14	26	25
66	97	77
79	30	5
58	79	32
49	16	68
69	90	30
78	12	43
65	7	20
24	99	16
98	53	46
28	49	54
56	68	43
14	60	75
95	38	88
46	42	60
17	79	27
48	50	44
52	63	7
7	88	51
54	69	47
10	86	59
71	33	66
66	68	28
47	39	11
15	66	60
62	99	75
73	4	85
45	77	27
42	57	77
77	55	58
63	53	77
18	26	78
